analysis,outcome,estimand,state_conditioned,exposure_common_support,standardization,fixed_effects,cluster,rows,clusters,treated_rows,control_rows,coefficient,standard_error,t_value,p_value_raw,weighted_treated_mean,weighted_control_mean,effect_relative_to_control_mean,coefficient_percentage_points,standard_error_percentage_points,matrix_rank,smallest_singular_value,absorption_iterations,absorption_last_adjustment,cluster_correction,sample_specification_sha256,control_count,control_names,audit_status
A1,first_subsequent_kind_draw,primary_total_path_conditional_choice,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,1029558,668683,30051,999507,0.010046862925197863,0.0012280635224883034,8.181061273476228,2.813547839062002e-16,0.04585537918871252,0.034694979398202756,0.2895768523130555,1.0046862925197864,0.12280635224883034,27,9.352219168732484,8,2.84920294109036e-12,1.000026749734631,f5a95ae6bfa1b517b4d7d8f8a6a5665b08b33f5f9d701f7263bca88e52731419,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",certified_exact_reproduction
A1,reached_fair_chooser_within_90d,mandatory_reach_companion,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2185073,1089971,65085,2119988,-0.001997581215042843,0.0018786044050148217,-1.0633325513931617,0.28763116832521796,0.4617192901590228,0.4681547211058877,-0.00426692528129184,-0.1997581215042843,0.18786044050148218,27,13.91605471579251,7,6.503013437913505e-11,1.000012816530355,9b5351775d41192c78abd2b81b84e52d34e82df5b4a6b9d350c4be0bed097e6d,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",certified_exact_reproduction
A1,any_fair_kind_grant_within_90d,mandatory_unconditional_kind_companion,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2185073,1089971,65085,2119988,0.004957039963181425,0.0007177473533220234,6.906385569014293,4.9715760642617395e-12,0.03309518322194054,0.027531843273032708,0.1800475149456055,0.4957039963181425,0.07177473533220234,27,13.91605471579251,7,6.503013437913505e-11,1.000012816530355,9ba20fed5be6b4a716de070c6425835f05d2505be692c1dc1d5b05900761314e,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",certified_exact_reproduction
